model,prompt_id,category,tps,ttft,latency,peak_vram_mb,error,temp_0.0_success,temp_0.0_error,temp_0.7_success,temp_0.7_error
starcoder2:3b,1,Coding Generation,39.89205210699846,6.804121600000144,6.850697199999559,2513.50390625,,True,,True,
starcoder2:3b,2,Coding Generation,49.41590401454804,0.0665661999992153,0.0906016999997518,2527.50390625,,False,Max retries exceeded,True,
starcoder2:3b,3,Coding Generation,50.066474979865845,0.0519948000001022,2.5994023000002926,2527.50390625,,True,,True,
starcoder2:3b,4,Coding Generation,21.512420649839807,0.1655470999994577,6.053451199999472,2577.50390625,,True,,True,
starcoder2:3b,5,Coding Generation,21.19915118598652,0.1528787000006559,0.9872181000009732,2577.50390625,,False,Max retries exceeded,True,
starcoder2:3b,6,Coding Generation,21.633414390469508,0.1680385999970894,6.013468999997713,2587.50390625,,True,,True,
starcoder2:3b,7,Coding Generation,18.38419474009804,0.1625724000004993,0.2082662000029813,2587.50390625,,True,,True,
starcoder2:3b,8,Coding Generation,18.1819669433659,0.1620172000002639,0.2066328000000794,2587.50390625,,True,,True,
starcoder2:3b,9,Coding Generation,18.2535379920013,0.1660625000004074,0.2155270000002929,2587.50390625,,False,Max retries exceeded,False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,10,Coding Generation,0.0,0.0,0.0,2587.50390625,model 'starcoder2:3b' not found (status code: 404),False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)",False,"model ""starcoder2:3b"" not found, try pulling it first (status code: 404)"
starcoder2:3b,11,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,12,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,13,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,14,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,15,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,16,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,17,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,18,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,19,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,20,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,21,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,22,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,23,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,24,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,25,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,26,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,27,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,28,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,29,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,30,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,31,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,32,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,33,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,34,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,35,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,36,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,37,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,38,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,39,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,40,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,41,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,42,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,43,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,44,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,45,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,46,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,47,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,48,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,49,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
starcoder2:3b,50,Coding Generation,0.0,0.0,0.0,131.0,model 'starcoder2:3b' not found (status code: 404),,,,
