model,prompt_id,category,tps,ttft,latency,peak_vram_mb,error,temp_0.0_success,temp_0.0_error,temp_0.7_success,temp_0.7_error
starcoder2:3b,1,Coding Generation,1512.1729925903524,0.11891379999906349,0.119257700000162,2529.50390625,,False,Max retries exceeded,False,Max retries exceeded
starcoder2:3b,2,Coding Generation,23.006212357065408,0.17491180000070017,2.08669270000064,2577.50390625,,False,Max retries exceeded,True,
starcoder2:3b,3,Coding Generation,23.019403129153705,0.1902233000000706,1.5368975999990653,2587.50390625,,True,,True,
starcoder2:3b,4,Coding Generation,22.577026862728626,0.1546742999998969,5.82432400000107,2587.50390625,,True,,True,
starcoder2:3b,5,Coding Generation,0.0,0.0,0.0,2587.50390625,'>' not supported between instances of 'NoneType' and 'int',True,,True,
starcoder2:3b,6,Coding Generation,1827.4853801169593,0.1608352000002924,0.16099799999938114,2587.50390625,,False,Max retries exceeded,True,
starcoder2:3b,7,Coding Generation,0.0,0.0,0.0,2587.50390625,'>' not supported between instances of 'NoneType' and 'int',True,,True,
starcoder2:3b,8,Coding Generation,0.0,0.0,0.0,2587.50390625,'>' not supported between instances of 'NoneType' and 'int',True,,True,
starcoder2:3b,9,Coding Generation,45.540866096191415,0.14621980000083568,0.19404360000044107,2587.50390625,,True,,True,
starcoder2:3b,10,Coding Generation,45.038451578034746,0.1488336000002164,0.19196960000044783,2587.50390625,,False,Max retries exceeded,True,
starcoder2:3b,11,Coding Generation,2673.082063619353,0.15173109999886947,0.1519518999994034,2587.50390625,,,,,
starcoder2:3b,12,Coding Generation,46.32063607497458,0.1423129999966477,0.18500349999885657,2587.50390625,,,,,
starcoder2:3b,13,Coding Generation,23.469039386548648,0.13083240000196383,5.5857591000021785,2587.50390625,,,,,
starcoder2:3b,14,Coding Generation,23.501640083986047,0.15506090000053518,5.601310800000647,2587.50390625,,,,,
starcoder2:3b,15,Coding Generation,23.551969702746174,0.17637260000265087,5.61051370000132,2587.50390625,,,,,
starcoder2:3b,16,Coding Generation,23.31792291885306,0.15028999999776715,5.639304100001027,2587.50390625,,,,,
starcoder2:3b,17,Coding Generation,23.755408519877264,0.17029209999964223,3.6205458999975235,2587.50390625,,,,,
starcoder2:3b,18,Coding Generation,46.4825492889332,0.15105120000225725,0.19370820000040112,2587.50390625,,,,,
starcoder2:3b,19,Coding Generation,23.3621260586009,0.141909999998461,5.621414000001096,2587.50390625,,,,,
starcoder2:3b,20,Coding Generation,23.448281142985735,0.14895439999963855,5.6089877000013075,2587.50390625,,,,,
